,Address,latitude,longitude,ZIP
0,"135, Hardwicke Lane, Little Elm, Denton County, Texas, 75068, United States",33.15768857,-96.938455,75068
1,"Ruisseau Drive, Plano, Collin County, Texas, TX 75074, United States",33.04458231,-96.70621224,TX 75074
2,"1841, Meadow Ranch Road, McKinney, Collin County, Texas, 75071, United States of America",33.21685989,-96.67569333,75071
3,"4326, Preston Road, Texas, 75024:75057, United States",33.1152252,-96.8042309,75024:75057
4,"2724, Browning Drive, Plano, Collin County, Texas, 75093, United States of America",33.03620336,-96.77878344,75093
5,"Eagle Gymnastics, Sports Village Road, Frisco, Collin County, Texas, 75033, United States",33.1607939,-96.83165465,75033
6,"Dr. J.M. Ogle Elementary School, 4200, Big Fork Trail, Craig Ranch North, McKinney, Collin County, Texas, 75070, United States",33.1584756,-96.72540887,75070
7,"9001, Bedford Lane, McKinney, Collin County, Texas, 75071, United States",33.208336,-96.734239,75071
8,"772, F Avenue, Plano, Collin County, Texas, 75074, United States",33.01031051,-96.70436175,75074
9,"Collin McKinney Boulevard, McKinney, Collin County, Texas, 75070‎, United States",33.1566282,-96.6570803,75070‎
10,"1816, Erwin Place, McKinney, Collin County, Texas, 75069, United States",33.20784602,-96.62917596,75069
11,"Dallas Baptist University (DBU North), Dallas Parkway, Plano, Collin County, Texas, 75093, United States",33.0386718,-96.83131884,75093
12,"5700, Claude Drive, Plano, Collin County, Texas, 75024, United States",33.083065,-96.821367,75024
13,"Russell Creek Preserve, Prince Wales Court, Plano, Collin County, Texas, 75025, United States",33.09119475,-96.74082391,75025
14,"11003, Saguaro Street, Trails of West Frisco, Frisco, Denton County, Texas, 75036, United States",33.1612835,-96.883864,75036
