ZIP,City,Population,Median-Income,Median-Home-Price
75023,Plano,49563,73602,"$285,700 "
75024,Plano,42405,89119,"$413,300 "
75025,Plano,53559,106301,"$368,900 "
75074,Plano,48977,55152,"$246,600 "
75075,Plano,35933,72576,"$303,300 "
75093,Plano,48021,99378,"$467,900 "
75033,Frisco,39301,N/A,N/A
75034,Frisco,95996,112626,"$422,100 "
75035,Frisco,65264,108694,"$366,800 "
75036,Frisco,33245,N/A,N/A
75069,McKinney,36879,47886,"$293,300 "
75070,McKinney,93299,100848,"$326,300 "
75071,McKinney,49846,81167,"$307,600 "
75072,McKinney,52835,N/A,N/A
